date,time,tradingsymbol,open,high,low,close,volume
2023-05-18,00:00:00,UNITDSPR,797.85,805.0,791.0,797.0,469018
2023-05-19,00:00:00,UNITDSPR,790.0,821.2,781.0,817.05,3025568
2023-05-22,00:00:00,UNITDSPR,822.0,825.6,812.0,823.65,857453
2023-05-23,00:00:00,UNITDSPR,825.0,826.4,819.4,821.95,1073977
2023-05-24,00:00:00,UNITDSPR,820.0,838.2,818.5,835.3,892521
2023-05-25,00:00:00,UNITDSPR,836.9,842.8,831.05,841.3,666410
2023-05-26,00:00:00,UNITDSPR,838.5,860.7,838.1,858.65,1750270
2023-05-29,00:00:00,UNITDSPR,858.95,868.1,851.55,866.55,1512222
2023-05-30,00:00:00,UNITDSPR,866.55,869.6,859.55,867.15,770563
2023-05-31,00:00:00,UNITDSPR,870.0,885.85,867.0,883.5,1533930
2023-06-01,00:00:00,UNITDSPR,883.0,888.5,872.4,876.15,545741
2023-06-02,00:00:00,UNITDSPR,882.0,882.55,871.5,874.65,503772
2023-06-05,00:00:00,UNITDSPR,873.0,882.0,866.5,876.15,439560
2023-06-06,00:00:00,UNITDSPR,874.9,878.35,864.5,867.0,301807
2023-06-07,00:00:00,UNITDSPR,869.9,878.05,866.35,875.45,792531
2023-06-08,00:00:00,UNITDSPR,879.0,879.5,866.2,871.05,826968
2023-06-09,00:00:00,UNITDSPR,871.05,894.0,870.15,888.2,1041577
2023-06-12,00:00:00,UNITDSPR,891.0,892.85,872.0,880.75,692376
2023-06-13,00:00:00,UNITDSPR,880.95,896.1,880.9,893.5,568855
2023-06-14,00:00:00,UNITDSPR,895.25,906.75,889.4,898.05,719762
2023-06-15,00:00:00,UNITDSPR,898.0,900.0,888.3,896.05,465225
2023-06-16,00:00:00,UNITDSPR,903.45,911.8,896.85,909.35,701638
2023-06-19,00:00:00,UNITDSPR,913.0,919.95,896.5,899.05,414584
2023-06-20,00:00:00,UNITDSPR,898.9,898.9,889.35,891.75,585057
2023-06-21,00:00:00,UNITDSPR,895.0,906.55,892.7,896.4,689890
2023-06-22,00:00:00,UNITDSPR,896.3,905.1,892.4,894.25,538864
2023-06-23,00:00:00,UNITDSPR,892.0,909.0,888.35,906.6,953329
2023-06-26,00:00:00,UNITDSPR,906.05,908.0,896.4,901.0,811669
2023-06-27,00:00:00,UNITDSPR,906.75,915.8,897.25,910.0,784408
2023-06-28,00:00:00,UNITDSPR,915.0,921.9,910.8,913.2,747306
2023-06-30,00:00:00,UNITDSPR,915.0,922.45,909.6,912.2,460345
2023-07-03,00:00:00,UNITDSPR,913.1,931.75,909.6,920.05,691211
2023-07-04,00:00:00,UNITDSPR,920.05,926.9,914.0,917.65,527033
2023-07-05,00:00:00,UNITDSPR,919.7,940.5,919.0,930.05,1040442
2023-07-06,00:00:00,UNITDSPR,932.8,949.9,924.35,944.05,732653
2023-07-07,00:00:00,UNITDSPR,942.05,943.0,911.45,914.65,1243755
2023-07-10,00:00:00,UNITDSPR,907.35,920.6,905.2,914.9,896148
2023-07-11,00:00:00,UNITDSPR,919.0,927.45,909.5,925.35,680447
2023-07-12,00:00:00,UNITDSPR,929.5,939.5,918.75,929.15,1160673
2023-07-13,00:00:00,UNITDSPR,929.45,939.5,917.1,924.5,793742
2023-07-14,00:00:00,UNITDSPR,926.95,947.45,924.9,944.8,964936
2023-07-17,00:00:00,UNITDSPR,946.35,978.3,946.35,973.15,2349402
2023-07-18,00:00:00,UNITDSPR,977.1,982.5,954.0,960.3,1098883
2023-07-19,00:00:00,UNITDSPR,960.3,976.75,960.3,970.95,1270000
2023-07-20,00:00:00,UNITDSPR,972.05,977.05,962.1,975.05,1466161
2023-07-21,00:00:00,UNITDSPR,995.0,1044.0,975.1,1039.05,8346024
